url,page_type,cluster,service,geo,s1_volume,s2_gsc,s3_ads,s4_competitors,s4_which,s5_job_history,signals_met,decision,blocked_by
/locations/bellingham/,T4 city,Bellingham WA exterior cleaning,,bellingham,UNMEASURED,MET — 21409 impressions over 16 months,UNMEASURED,3,mtbakerwindows.com|pnwwash.com|pureshinenw.com,ATTESTED territory-wide (2026-09-12),3,PAGE,
/locations/bellingham/window-cleaning/,T4 city x service,window cleaning Bellingham WA,window-cleaning,bellingham,UNMEASURED,MET — 9421 impressions over 16 months,UNMEASURED,1,pnwwash.com,ATTESTED territory-wide (2026-09-12),2,PAGE,
/locations/bellingham/gutter-cleaning/,T4 city x service,gutter cleaning Bellingham WA,gutter-cleaning,bellingham,UNMEASURED,MET — 3952 impressions over 16 months,UNMEASURED,1,pnwwash.com,ATTESTED territory-wide (2026-09-12),2,PAGE,
/locations/bellingham/roof-cleaning/,T4 city x service,roof cleaning Bellingham WA,roof-cleaning,bellingham,UNMEASURED,MET — 3373 impressions over 16 months,UNMEASURED,1,pnwwash.com,ATTESTED territory-wide (2026-09-12),2,PAGE,
/locations/bellingham/moss-removal/,T4 city x service,moss removal Bellingham WA,moss-removal,bellingham,UNMEASURED,MET — 1887 impressions over 16 months,UNMEASURED,0,,ATTESTED territory-wide (2026-09-12),2,PAGE,
/locations/bellingham/pressure-washing/,T4 city x service,pressure washing Bellingham WA,pressure-washing,bellingham,UNMEASURED,MET — 950 impressions over 16 months,UNMEASURED,0,,ATTESTED territory-wide (2026-09-12),2,PAGE,
/locations/bellingham/house-washing/,T4 city x service,house washing Bellingham WA,house-washing,bellingham,UNMEASURED,MET — 59 impressions over 16 months,UNMEASURED,1,pnwwash.com,ATTESTED territory-wide (2026-09-12),2,PAGE,
/locations/bellingham/solar-panel-cleaning/,T4 city x service,solar panel cleaning Bellingham WA,solar-panel-cleaning,bellingham,UNMEASURED,MET — 1035 impressions over 16 months,UNMEASURED,0,,ATTESTED territory-wide (2026-09-12),2,PAGE,
/locations/ferndale/,T4 city,Ferndale WA exterior cleaning,,ferndale,UNMEASURED,"21 impressions over 16 months, threshold 53.5",UNMEASURED,3,mtbakerwindows.com|pnwwash.com|pureshinenw.com,ATTESTED territory-wide (2026-09-12),2,PAGE,
/locations/ferndale/window-cleaning/,T4 city x service,window cleaning Ferndale WA,window-cleaning,ferndale,UNMEASURED,"0 impressions over 16 months, threshold 53.5",UNMEASURED,2,mtbakerwindows.com|pnwwash.com,ATTESTED territory-wide (2026-09-12),2,PAGE,
